"Site","Date....as.Date.character....format.....Y..m..d..","Time....character..","Name....character..","File_Start_Time....character..","File_End_Time....character..","bioacoustic....double..","amplitude....double..","temporal_entropy....double..","spectral_entropy....double..","acoustic_entropy....double..","acoustic_diversity....double..","acoustic_evenness....double..","acoustic_complexity....double..","nrows....integer..","ndsi....double..","cluster..nine..clusters","cluster..fifteen..clusters"
"Nirav_NA","2018-07-29","18:15:0","Nirav_S4A07275_20180729_180000.wav",15,20,125.839731746434,0.192928375717714,0.975236929996465,0.323918465469529,0.315897249833669,0.003611,0.899918,169.654508928019,0,-0.36477136646176,6,6
"Nirav_NA","2018-07-29","18:20:0","Nirav_S4A07275_20180729_180000.wav",20,25,127.519398869812,0.34401746721119,0.979101716840991,0.296473707713337,0.290277916220343,0,0.9,178.489982127246,0,-0.286078269525149,6,3
"Nirav_NA","2018-07-29","18:25:0","Nirav_S4A07275_20180729_180000.wav",25,30,122.255642582392,0.179440844910334,0.971118391543361,0.303973874212088,0.295194619796047,0,0.9,176.923049752701,0,-0.361617586422545,6,4
"Nirav_NA","2018-07-29","18:30:0","Nirav_S4A07275_20180729_180000.wav",30,35,138.325156352114,0.164910189846052,0.97031491563831,0.327733537705729,0.318004739990779,0.054114,0.897248,172.429533706994,0,-0.244946385500009,6,6
"Nirav_NA","2018-07-29","18:35:0","Nirav_S4A07275_20180729_180000.wav",35,40,131.829126749403,0.189874439126634,0.97139762818196,0.313398550534926,0.304434608665291,0.01535,0.899341,178.877550410342,0,-0.156526793351312,6,11
"Nirav_NA","2018-07-29","18:40:0","Nirav_S4A07275_20180729_180000.wav",40,45,150.889283989315,0.103281445873704,0.967712499558513,0.383006445028728,0.37064012426577,0.216511,0.885421,180.265649560935,0,0.573309332070014,6,11
"Nirav_NA","2018-07-29","18:45:0","Nirav_S4A07275_20180729_180000.wav",45,50,149.041374269313,0.112351069025369,0.97359378987999,0.425989602224573,0.414740831279291,0.111981,0.893323,173.480114491038,0,0.237278282591442,6,11
"Nirav_NA","2018-07-29","18:50:0","Nirav_S4A07275_20180729_180000.wav",50,55,131.302762617547,0.103174704305234,0.967313450409045,0.386061781669948,0.373442754098221,0.017746,0.899391,164.162184774675,0,-0.349617689655832,6,6
"Patagonia_lake","2019-04-13","13:47:13","Patagonia_lake_S4A07341_20190413_134713.wav",0,5,77.0525061675076,0.0449221601976145,0.944936076628284,0.709493510267416,0.670426013985321,1.867923,0.455287,212.891961670711,0,0.312364349722221,7,5
"Patagonia_lake","2019-04-13","13:52:13","Patagonia_lake_S4A07341_20190413_134713.wav",5,10,172.40967332675,0.0386543190377801,0.988123695507556,0.69691829984041,0.68864148590515,1.50334,0.65729,185.610741003903,0,0.982402696416788,3,2
"Patagonia_lake","2019-04-13","14:0:0","Patagonia_lake_S4A07341_20190413_140000.wav",0,5,152.906150158104,0.0361065351634025,0.991690927343116,0.590715537824896,0.585807239501558,1.072288,0.748493,181.068693437744,0,0.817079583256647,3,2
"Patagonia_lake","2019-04-13","14:5:0","Patagonia_lake_S4A07341_20190413_140000.wav",5,10,143.279221202462,0.03948318779673,0.986152803873468,0.682118932496051,0.672673497856157,1.580667,0.625725,195.925330562808,0,0.995268523113529,7,2
"Patagonia_lake","2019-04-13","14:10:0","Patagonia_lake_S4A07341_20190413_140000.wav",10,15,146.676511471824,0.043351919121531,0.973756871761835,0.769126568805574,0.74894228162903,1.658327,0.584472,202.793521718538,1,0.998513287953078,7,2
"Patagonia_lake","2019-04-13","14:15:0","Patagonia_lake_S4A07341_20190413_140000.wav",15,20,153.578013362551,0.0372165559527723,0.984504818680108,0.572509296483986,0.563638161127643,0.930106,0.784671,184.863837348675,0,0.943425499385336,3,2
"Patagonia_lake","2019-04-13","14:20:0","Patagonia_lake_S4A07341_20190413_140000.wav",20,25,150.753084149403,0.0350799963690074,0.99356536689067,0.570080232155094,0.566411975018294,1.198278,0.724872,180.606313535576,0,0.938021744220072,3,2
"Patagonia_lake","2019-04-13","14:25:0","Patagonia_lake_S4A07341_20190413_140000.wav",25,30,157.952760622875,0.0341293087865029,0.99338128995461,0.564762279370723,0.561024281598995,1.54895,0.622505,185.59840550065,0,0.953348805673916,3,2
"Patagonia_lake","2019-04-13","14:30:0","Patagonia_lake_S4A07341_20190413_140000.wav",30,35,160.185069793571,0.0420038992962219,0.990533412564648,0.632203340271425,0.626218532073824,0.940852,0.792538,169.476434573782,0,0.638930065259777,3,1
"Patagonia_lake","2019-04-13","14:35:0","Patagonia_lake_S4A07341_20190413_140000.wav",35,40,172.852701176515,0.0425161769622068,0.990139040251563,0.681692119075848,0.674969980528814,1.333542,0.694661,185.046695515214,0,0.689897679840332,3,2
"Patagonia_lake","2019-04-13","14:40:0","Patagonia_lake_S4A07341_20190413_140000.wav",40,45,169.145381176783,0.0377463828181288,0.990085228830928,0.660745283756442,0.654194145466953,1.626175,0.569664,195.754425048273,0,0.958666564888371,3,2
"Patagonia_lake","2019-04-13","14:45:0","Patagonia_lake_S4A07341_20190413_140000.wav",45,50,162.064454179132,0.0346868606138916,0.995422507940671,0.595559982005655,0.59283381091717,1.628975,0.566299,186.668596999894,0,0.64015375664608,3,2
"Patagonia_lake","2019-04-13","14:50:0","Patagonia_lake_S4A07341_20190413_140000.wav",50,55,136.975216348801,0.0356637372237826,0.994451399301206,0.564359925246842,0.561228517371246,0.758769,0.818758,164.956896101365,0,-0.182906931639246,4,15
